"DID";"District";"reg_voters";"voters";"pct_voter_turnout";"reg_male";"reg_women";"reg_male_pct";"reg_female_pct";"men_voters";"women_voters";"w_turnout_pct";"m_tournout_pct";"m_voter_pct";"w_voter_pct"
1;"Akkar";225186;121524;54;112124;113062;49.8;50.2;56287;65237;57.7;50.2;46.3;53.7
2;"Batroun";58444;32923;56.3;28332;30112;48.5;51.5;15668;17255;57.3;55.3;47.6;52.4
3;"Koura";57794;27537;47.7;28508;29286;49.3;50.7;12630;14907;50.9;44.3;45.9;54.1
4;"Minnieh-Dinnieh";97341;55677;57.2;48840;48501;50.2;49.8;27497;28180;58.1;56.3;49.4;50.6
5;"Bchareh";46422;17292;37.3;23245;23177;50.1;49.9;8438;8854;38.2;36.3;48.8;51.2
6;"Zgharta";71035;34705;48.9;35468;35567;49.9;50.1;16245;18460;51.9;45.8;46.8;53.2
7;"Tripoli";196149;91675;46.7;94366;101783;48.1;51.9;44447;47228;46.4;47.1;48.5;51.5
8;"Baalbeck-Hermel";255658;128172;50.1;125569;130089;49.1;50.9;60525;67647;52;48.2;47.3;52.7
9;"West Bekaa- Rashaya";122489;65832;53.8;61324;61165;50.1;49.9;30111;35721;58.4;49.1;45.7;54.3
10;"Zahleh";158124;93385;59;76989;81135;48.7;51.3;43730;49655;61.2;56.8;46.8;53.2
11;"Chouf";181946;93038;51.2;87836;94110;48.3;51.7;44006;49032;52.1;50.1;47.3;52.7
12;"Metn";170735;97517;57.1;83189;87546;48.7;51.3;47002;50515;57.7;56.5;48.2;51.8
13;"Baabda";151589;85595;56.5;74043;77546;48.8;51.2;41316;44279;57.1;55.8;48.3;51.7
14;"Jbeil";75584;50590;67;36876;38708;48.8;51.2;24191;26399;68.2;65.6;47.8;52.2
15;"Aley";116501;60796;52.2;56761;59740;48.7;51.3;29970;30826;51.6;52.8;49.3;50.7
16;"Keserwan";89228;60584;67.9;43450;45778;48.7;51.3;29546;31038;67.8;68;48.8;51.2
17;"Beirut I";92765;37482;40.4;43928;48837;47.4;52.6;17703;19779;40.5;40.3;47.2;52.8
18;"Beirut II";252167;104206;41.3;120155;132012;47.6;52.4;50345;53861;40.8;41.9;48.3;51.7
19;"Beirut III";101787;28088;27.6;48426;53361;47.6;52.4;13947;14141;26.5;28.8;49.7;50.3
20;"Zahrany";92995;51333;55.2;46510;46485;50;50;24418;26915;57.9;52.5;47.6;52.4
21;"Jezzine";54188;29341;54.1;26403;27785;48.7;51.3;13836;15505;55.8;52.4;47.2;52.8
22;"Sour";153060;77271;50.5;75692;77368;49.5;50.5;35879;41392;53.5;47.4;46.4;53.6
23;"Saida";53859;37787;70.2;24787;29072;46;54;17698;20089;69.1;71.4;46.8;53.2
24;"Nabatieh";121912;69290;56.8;60020;61892;49.2;50.8;32711;36579;59.1;54.5;47.2;52.8
25;"Bent Jbeil";123396;53707;43.5;60116;63280;48.7;51.3;25610;28097;44.4;42.6;47.7;52.3
26;"Marjaaoun-Hasbaya";138844;64784;46.7;67714;71130;48.8;51.2;31352;33432;47;46.3;48.4;51.6
